MsgID.STATE,0.0000000,False,False
MsgID.LOCAL_POSITION,20.5400000,-6.9889517,1.4559309,-49.9820023
MsgID.LOCAL_VELOCITY,20.5400000,-1.3603699,1.0076690,-0.1079499
MsgID.GLOBAL_POSITION,0.0000000,-122.3974337,37.7924130,49.9940000
MsgID.LOCAL_VELOCITY,0.0000000,-1.7000000,0.9700000,-0.0800000
MsgID.LOCAL_POSITION,20.7900000,-7.4899082,1.7409450,-49.9942131
MsgID.LOCAL_VELOCITY,20.7900000,-1.7053366,0.9789736,-0.0835506
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974310,37.7924103,49.9800000
MsgID.LOCAL_VELOCITY,0.0000000,-1.3200000,1.1000000,-0.0400000
MsgID.LOCAL_POSITION,21.0410000,-7.7912431,1.9779502,-49.9808578
MsgID.LOCAL_VELOCITY,21.0410000,-1.3227587,1.1078914,-0.0490865
MsgID.GLOBAL_POSITION,0.0000000,-122.3974271,37.7924077,49.9760000
MsgID.LOCAL_VELOCITY,0.0000000,-0.7200000,1.4900000,-0.1200000
MsgID.LOCAL_POSITION,21.2910000,-8.0818443,2.3210309,-49.9768639
MsgID.LOCAL_VELOCITY,21.2910000,-0.7262388,1.4965763,-0.1280247
MsgID.GLOBAL_POSITION,0.0000000,-122.3974233,37.7924071,49.9840000
MsgID.LOCAL_VELOCITY,0.0000000,-0.5300000,1.3600000,-0.1200000
